Customer_ID,Age,Education,Years_Experience,Annual_Income_k$,Device_Type,Is_Premium,Avg_Session_Min,Total_Spend_USD,Satisfied
CUST_1197,36,High School,19.4,57.81,Desktop,1,26.0,1010.28,0
CUST_1198,35,High School,13.5,64.61,Mobile,1,14.5,762.91,1
CUST_1199,23,Bachelor,0.8,48.83,Mobile,1,14.8,760.43,1
CUST_1200,38,Bachelor,16.2,82.52,Desktop,1,29.0,1357.71,0
CUST_1201,40,High School,25.1,68.61,Mobile,0,11.5,337.73,1
CUST_1202,45,Master,24.8,94.21,Mobile,1,14.2,1232.55,1
CUST_1203,45,Bachelor,23.7,97.2,Mobile,1,1.0,799.56,1
CUST_1204,21,Bachelor,1.0,52.81,Desktop,0,31.4,844.95,0
CUST_1205,25,Bachelor,0.0,40.78,Mobile,0,12.6,159.63,0
CUST_1206,40,Bachelor,22.2,81.0,Mobile,1,,970.36,1
CUST_1207,40,Bachelor,17.7,88.86,Desktop,0,38.2,789.74,0
CUST_1208,40,High School,21.3,60.82,Mobile,0,8.6,195.81,0
CUST_1209,68,High School,48.6,132.62,Mobile,1,10.0,1189.75,1
CUST_1210,40,Master,19.2,89.36,Mobile,1,22.0,1209.88,1
CUST_1211,46,PhD,21.9,124.53,Mobile,1,7.8,956.01,1
CUST_1212,44,Bachelor,20.8,82.81,Desktop,1,25.2,838.36,0
CUST_1213,41,Bachelor,22.8,93.87,Mobile,1,,939.95,1
CUST_1214,31,Bachelor,8.6,59.13,Mobile,0,16.2,478.54,0
CUST_1215,42,Bachelor,20.4,83.42,Desktop,1,29.0,1194.16,1
CUST_1216,27,High School,10.3,50.87,Desktop,0,21.5,661.43,1
CUST_1217,32,High School,13.9,49.0,Desktop,0,25.3,547.75,1
CUST_1218,30,Master,8.3,82.87,Mobile,1,9.0,1147.44,1
CUST_1219,35,Bachelor,13.7,68.55,Mobile,0,11.6,513.66,1
CUST_1220,58,High School,40.4,102.89,Desktop,1,30.1,1175.91,1
CUST_1221,18,High School,0.0,24.05,Mobile,0,14.1,86.02,0
CUST_1222,41,High School,22.4,51.82,Desktop,0,19.1,454.87,1
CUST_1223,18,Bachelor,0.0,46.47,Desktop,1,33.3,941.63,1
CUST_1224,30,High School,12.2,73.26,Desktop,0,29.3,859.07,1
CUST_1225,45,High School,24.8,82.92,Mobile,1,18.9,1057.54,1
CUST_1226,35,Master,14.3,87.59,Mobile,1,14.2,778.77,1
CUST_1227,24,High School,5.0,38.9,Desktop,1,33.5,989.92,0
CUST_1228,27,Bachelor,8.3,63.12,Mobile,0,14.3,587.76,1
CUST_1229,41,High School,24.6,80.66,Mobile,1,18.7,1203.58,1
CUST_1230,27,High School,8.3,37.49,Desktop,0,30.6,706.95,0
CUST_1231,37,High School,20.9,78.53,Desktop,0,27.5,833.45,1
CUST_1232,35,Master,12.9,90.94,Mobile,1,23.4,1092.52,0
CUST_1233,28,Master,6.7,79.81,Mobile,1,,1000.76,1
CUST_1234,56,Master,34.6,127.79,Mobile,1,14.9,1374.52,1
CUST_1235,41,Bachelor,19.8,83.8,Desktop,1,21.6,825.13,0
CUST_1236,18,Bachelor,0.0,53.38,Tablet,0,11.6,358.6,1
CUST_1237,36,High School,19.5,71.83,Mobile,0,13.5,402.62,1
CUST_1238,28,Bachelor,5.5,55.07,Mobile,0,12.7,488.47,1
CUST_1239,43,Master,22.9,98.63,Desktop,1,24.9,1326.89,1
CUST_1240,27,High School,7.6,46.49,Mobile,0,12.7,9800.0,0
CUST_1241,33,High School,15.6,72.47,Mobile,0,19.9,239.85,1
CUST_1242,40,High School,25.1,67.27,Tablet,1,21.5,880.94,1
CUST_1243,43,High School,23.4,62.38,Mobile,1,6.3,874.65,1
CUST_1244,22,High School,4.0,40.52,Desktop,0,27.4,627.87,1
CUST_1245,31,Bachelor,11.8,69.65,Mobile,1,8.0,856.28,1
CUST_1246,30,Bachelor,7.7,63.25,Mobile,0,10.1,395.23,0
CUST_1247,28,Master,6.3,75.29,Desktop,1,25.9,842.27,0
CUST_1248,52,Master,29.7,113.67,Mobile,1,9.6,1119.16,1
CUST_1249,39,Bachelor,17.0,90.52,Tablet,0,11.7,465.76,0
CUST_1250,22,Bachelor,0.0,35.19,Desktop,0,27.4,854.31,0
CUST_1251,44,Bachelor,19.1,75.75,Mobile,0,,571.56,1
CUST_1252,56,Bachelor,37.2,114.13,Mobile,1,1.0,854.17,1
CUST_1253,45,Bachelor,21.3,73.19,Mobile,0,22.3,538.98,1
CUST_1254,19,Bachelor,0.0,46.59,Mobile,0,17.4,437.84,1
CUST_1255,30,Bachelor,3.7,,Mobile,1,10.1,773.26,1
CUST_1256,47,Bachelor,23.7,90.83,Mobile,1,12.1,1114.85,1
CUST_1257,27,Bachelor,2.4,54.17,Mobile,0,6.1,376.42,0
CUST_1258,39,Bachelor,20.3,74.46,Desktop,0,36.5,697.52,1
CUST_1259,42,PhD,22.0,114.67,Desktop,1,37.5,1665.9,1
CUST_1260,25,Master,1.6,61.88,Desktop,0,28.8,662.74,0
CUST_1261,34,High School,18.0,61.86,Mobile,1,17.1,980.18,1
CUST_1262,18,Master,0.0,72.25,Mobile,1,12.9,772.1,0
CUST_1263,24,Bachelor,1.4,54.98,Desktop,0,21.3,588.87,1
CUST_1264,32,Master,5.0,62.11,Mobile,0,9.9,476.26,1
CUST_1265,22,Master,4.6,72.25,Mobile,0,12.7,227.49,0
CUST_1266,51,Bachelor,26.2,99.15,Desktop,1,25.7,1457.05,1
CUST_1267,20,High School,1.1,43.1,Desktop,0,26.9,745.11,0
CUST_1268,30,Bachelor,10.0,78.64,Mobile,1,11.5,818.29,0
CUST_1269,36,Bachelor,18.9,,Mobile,1,11.6,690.4,1
CUST_1270,49,Bachelor,29.8,95.15,Desktop,1,28.3,1216.66,1
CUST_1271,20,Bachelor,0.0,37.94,Desktop,0,22.7,493.77,0
CUST_1272,46,High School,29.3,82.87,Desktop,1,24.4,1107.27,1
CUST_1273,35,Master,14.7,92.19,Desktop,1,21.6,1097.2,0
CUST_1274,25,PhD,4.5,96.0,Desktop,1,32.9,1300.19,1
CUST_1275,39,Bachelor,17.6,79.07,Mobile,1,1.5,977.11,1
CUST_1276,36,High School,17.4,60.76,Mobile,1,17.8,953.45,1
CUST_1277,28,Bachelor,5.9,59.83,Desktop,0,34.9,561.77,1
CUST_1278,35,High School,19.4,60.24,Desktop,0,26.5,824.66,0
CUST_1279,31,PhD,8.4,111.84,Desktop,1,15.0,1342.43,1
CUST_1280,36,High School,19.8,54.78,Mobile,1,10.2,1223.13,1
CUST_1281,41,Bachelor,18.8,83.32,Mobile,1,11.7,735.28,1
CUST_1282,50,Bachelor,26.0,110.99,Desktop,1,22.9,1222.79,1
CUST_1283,22,Bachelor,0.0,48.05,Desktop,0,25.4,241.55,0
CUST_1284,56,Bachelor,34.4,108.4,Tablet,1,25.7,1288.45,1
CUST_1285,18,Master,0.0,59.14,Desktop,0,31.3,590.67,0
CUST_1286,33,High School,13.6,55.04,Desktop,1,23.4,1198.38,0
CUST_1287,40,High School,22.5,83.48,Desktop,1,20.0,888.02,0
CUST_1288,37,High School,17.2,45.27,Desktop,0,26.4,300.96,0
CUST_1289,28,PhD,7.9,106.49,Desktop,1,26.9,1138.58,1
CUST_1290,32,Master,8.0,65.01,Desktop,1,30.5,743.87,0
CUST_1291,30,Bachelor,7.6,59.55,Mobile,0,9.3,523.41,1
CUST_1292,29,Bachelor,8.1,59.15,Mobile,0,14.6,162.78,1
CUST_1293,43,Bachelor,19.1,87.09,Desktop,1,37.7,1239.36,1
CUST_1294,38,High School,20.9,56.84,Mobile,1,16.1,518.54,1
CUST_1295,28,PhD,3.3,89.64,Mobile,1,11.8,889.47,1
CUST_1296,43,Bachelor,19.8,99.83,Mobile,1,11.1,1229.74,1
CUST_1297,38,Bachelor,16.6,66.97,Mobile,1,10.2,859.86,1
CUST_1298,43,Bachelor,17.8,81.56,Mobile,1,17.9,839.77,1
CUST_1299,41,High School,25.9,73.32,Mobile,1,8.9,815.84,1
CUST_1300,26,High School,6.5,47.11,Tablet,0,18.2,466.24,0
CUST_1301,29,Master,8.1,76.73,Mobile,0,12.3,598.9,0
CUST_1302,42,High School,24.8,,Mobile,0,9.5,263.94,1
CUST_1303,41,Bachelor,21.7,90.96,Mobile,1,5.1,952.89,1
CUST_1304,34,High School,16.5,76.13,Desktop,1,29.6,676.99,0
CUST_1305,36,Bachelor,13.1,70.05,Mobile,1,11.7,743.88,0
CUST_1306,47,Bachelor,25.2,99.12,Desktop,1,30.5,1138.95,1
CUST_1307,29,Bachelor,8.1,52.23,Desktop,1,25.3,1015.43,1
CUST_1308,40,Master,18.1,86.93,Desktop,0,34.1,844.47,0
CUST_1309,32,Bachelor,10.1,69.96,Mobile,0,7.6,227.9,0
CUST_1310,32,Bachelor,8.6,75.35,Desktop,1,36.6,1015.07,1
CUST_1311,45,Bachelor,21.7,89.9,Mobile,1,3.3,866.67,1
CUST_1312,43,Bachelor,18.2,78.26,Tablet,1,20.2,968.52,1
CUST_1313,43,PhD,24.5,124.09,Desktop,1,30.4,1264.51,1
CUST_1314,48,Master,23.5,,Mobile,1,8.0,844.28,1
CUST_1315,35,High School,16.8,67.08,Mobile,0,14.1,607.5,1
CUST_1316,41,High School,19.7,74.52,Mobile,0,18.4,512.71,1
CUST_1317,31,Bachelor,10.8,63.82,Desktop,0,16.9,508.25,0
CUST_1318,38,Bachelor,15.4,71.96,Mobile,1,14.5,1206.63,1
CUST_1319,33,High School,14.9,60.95,Desktop,0,15.5,277.94,0
CUST_1320,35,Bachelor,11.7,65.57,Mobile,1,7.2,485.42,1
CUST_1321,40,Bachelor,18.6,80.95,Desktop,0,36.1,952.17,1
CUST_1322,26,Bachelor,2.3,68.94,Desktop,1,25.1,892.08,1
CUST_1323,55,Master,37.3,127.16,Desktop,1,22.1,1222.04,1
CUST_1324,24,High School,6.8,41.37,Desktop,0,27.0,428.62,0
CUST_1325,22,High School,3.6,33.3,Mobile,0,22.3,419.49,0
CUST_1326,46,Master,25.3,113.49,Mobile,1,2.8,1199.03,1
CUST_1327,42,Bachelor,20.8,83.99,Desktop,1,22.7,1159.53,1
CUST_1328,41,Bachelor,18.6,76.29,Mobile,1,19.5,1091.57,1
CUST_1329,41,Bachelor,18.7,92.23,Mobile,1,21.3,852.64,1
CUST_1330,34,High School,15.2,70.72,Mobile,0,11.5,316.5,1
CUST_1331,26,Master,3.7,63.86,Mobile,0,5.8,50.0,0
CUST_1332,35,Master,14.9,73.89,Mobile,0,22.5,515.08,0
CUST_1333,28,Bachelor,10.4,74.78,Desktop,0,36.0,946.34,0
CUST_1334,44,Bachelor,20.9,80.14,Mobile,0,15.4,659.7,1
CUST_1335,33,Bachelor,8.3,,Desktop,0,23.9,597.82,0
CUST_1336,26,Bachelor,3.8,39.08,Mobile,0,11.8,351.03,1
CUST_1337,31,High School,12.5,61.64,Desktop,0,27.2,531.71,1
CUST_1338,39,PhD,15.4,98.03,Mobile,1,13.7,1035.44,0
CUST_1339,29,High School,8.6,53.33,Desktop,0,35.3,810.08,1
CUST_1340,26,PhD,7.4,93.43,Desktop,1,32.4,962.22,0
CUST_1341,37,Bachelor,13.9,65.39,Mobile,1,6.6,800.11,1
CUST_1342,37,High School,20.4,65.46,Tablet,0,24.9,764.95,0
CUST_1343,29,Bachelor,10.3,72.03,Tablet,0,19.6,530.41,1
CUST_1344,30,Master,7.2,75.81,Desktop,1,31.4,1207.79,0
CUST_1345,37,Master,14.6,92.96,Desktop,1,35.3,1659.12,0
CUST_1346,20,Master,0.0,77.81,Mobile,1,6.4,796.9,1
CUST_1347,20,Bachelor,0.0,35.49,Desktop,0,27.8,591.62,1
CUST_1348,27,Bachelor,3.7,67.6,Mobile,1,9.3,687.22,1
CUST_1349,32,Master,7.6,76.51,Mobile,1,4.2,806.91,1
CUST_1350,38,High School,21.5,63.51,Tablet,1,19.7,972.67,0
CUST_1351,49,Bachelor,25.5,83.26,Mobile,1,24.6,1087.52,1
CUST_1352,43,High School,25.3,76.03,Desktop,0,18.8,449.61,1
CUST_1353,33,PhD,7.9,101.59,Desktop,1,27.8,1224.13,1
CUST_1354,34,PhD,12.7,101.84,Desktop,1,31.2,1454.67,0
CUST_1355,24,High School,7.0,56.69,Tablet,0,18.6,576.84,1
CUST_1356,34,Master,8.0,64.79,Mobile,1,11.4,954.26,1
CUST_1357,32,PhD,10.7,99.16,Mobile,1,5.5,876.86,1
CUST_1358,38,High School,20.8,59.42,Mobile,0,13.2,569.45,0
CUST_1359,26,Bachelor,1.6,53.79,Mobile,0,8.2,413.89,1
